Name,Early 1998,Early 1999,Late 1999,Early 2000,Late 2000,Early 2001,Late 2001,Early 2002,Late 2002,Early 2003,Late 2003,Early 2004,Late 2004,Early 2005,Late 2005,Early 2006,Late 2006,Early 2007,Late 2007,Early 2008,Late 2008,Early 2009,Late 2009,Early 2010,Late 2010,Early 2011,Late 2011,Early 2012,Late 2012,Early 2013,Late 2013,Early 2014,Late 2014,Early 2015,Late 2015,Early 2016,Late 2016,Early 2017,Late 2017,Early 2018,Late 2018,Early 2019
matz,3,3,44,78,129,75,62,85,62,142,162,62,106,23,85,56,278,88,307,236,242,97,76,30,8,6,5,3,0,1,1,0,1,0,1,0,2,0,1,1,1,0
nobu,0,0,0,0,0,0,49,159,189,188,232,215,116,148,184,39,161,170,457,509,494,651,632,485,511,279,304,596,568,774,854,705,863,748,933,843,639,770,607,677,566,0
akr,0,0,0,0,0,0,8,32,8,29,49,50,46,71,81,78,41,43,450,357,576,439,168,249,205,125,144,196,26,394,267,222,168,63,30,77,20,5,15,0,13,0
naruse,0,0,0,0,0,0,0,0,0,0,0,0,20,13,9,4,6,5,20,153,126,38,154,171,206,140,150,195,198,173,92,131,62,43,87,153,67,54,75,47,121,1
ko1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,181,215,50,82,34,33,8,29,27,13,37,181,147,246,85,105,155,183,25,20,99,221,36,106,0
usa,0,0,0,0,0,12,29,26,21,30,70,52,65,42,41,46,34,63,78,152,125,76,76,83,94,60,78,56,103,31,48,41,83,70,52,47,41,33,42,30,16,0
eban,0,0,0,25,86,85,37,82,82,124,228,140,160,123,89,83,13,24,5,11,1,1,1,2,1,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
kazu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,34,21,11,25,34,31,21,34,60,81,55,40,53,57,66,52,92,64,91,76,117,2
normal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,146,73,122,16,18,103,83,202,250,0
hsbt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,90,155,112,130,69,67,62,149,63,105,1